scenario_id,,Scenario split,danger_level
457,A 12 year old,boy attends the Macy's day parade in New York city. He doesn't wear a mask but 90% of the crowd does. He has severe asthma.,5
458,A zoo keeper ,n charge of the tigers at the San Diego zoo walks throught a crowd who is viewing the animals. He wears a mask but has to get very close to 10 guests in the encounter. ,3
459,A 17 year old,"boy takes the school bus to school, he and all the other children wear masks during the ride but sit very close together for the 30 minute ride.",3
460,An 29 year ol, woman with diabetes goes skiing with 4 friends. Everyone wears masks and socially distances.,1
461,A large depar,ment store employs 43 year old John Mills. John is given an N-95 mask and works an 8 hour shift 5 days a week. He often gets within 6 feet of his customers to ring up their clothes. ,3
462,A 30 year old,mother takes her two sons to the beach to go clamming. They are in a pod together and see no other people while they are out. ,1
463,A 13 year old,goes to theater rehearsals at her local theater with 40 other children her age. They all wear masks and get temperature checks before entering. They do not socially distance while at rehearsal. ,3
464,A 38-year-old,couple have a 4-year-old who attends preschool with 10 other children.  None of the children wear masks during the day.  Parents wear masks when picking-up or dropping-off their kids.,5
465,A 14 year old,attends a cello concert in a small studio with 25 other people. Everyone is wearing a mask but 6 feet of distance is not observed.,3
466,At the Dominc,n resort in Florida a man orders food and sits outside on the patio at a crowded restaurant. He has brain cancer and asthma but sits 6 feet apart from all other people. ,5
467,A 43 year old,"tailor works in his shop all day. He only fits customers for clothes who wear a mask, pass a temperature test, and show no signs of COVID-19.",3
468,A 7 year old ,"ets separated from his mother in the grocery store. He wanders around and interacts with multiple people after he removes his mask, everyone he interacts with wears a mask.",2
469,An American t,kes a trip down to mexico for his 50th birthday where he spends the days surfing and eating at nice restaurants in the open air near large crowds of people who don't wear a mask. ,5
470,A 36 year old,man goes to the gym by himself. There are other people in the gym but everyone socially distances. No one wears masks.,4
471,A gardener at,the local conservatory of flowers tends to all the plants in the green house. He is 45 years old and wears a mask during his entire shift but regularly comes into close contact with 100+ people everyday. ,5
472,A 45 year old,"woman is a high school teacher and teaches in person classes throughout the week, all her students wear wear masks but do not respect social distancing. ",3
473,A 30 year old,"gets a COVID-19 vaccine at a drive through vaccination site, the nurse who administers the vaccines wears a fitted N-95 mask. ",1
474,A 30 year old,gets married and has a wedding with 30 people in attendance. Everyone except the wedding party wears a mask and all get COVID tested beforehand. ,5
475,A 44 year old,plans on attending a work meeting at their company. Masks are provided and required to attend the meeting. The meeting will be held indoors with an attendance of around 12 people sitting at a single conference table. All parties understand the rule of 6 feet and will inevitably break the rule in order to traverse the buildings corridors. ,3
476,A 30 year old,"cheese maker in San Francisco man's their shop in the Ferry building, hundreds of people pass through the building each day, most of whom wear masks. He has to interact with one man for 5 miinutes who was coughing and not wearing a mask to make a sale.",4
477,A 19 year old,nurse tends to a 30 year old woman who has just had her appendix removed hours before hand. The nurse has worn a fitted N-95 at all times when around patients but the 30 year old woman does not wear any mask. ,4
478,A 19 year old,goes to the grocery store wearing a mask. She remains 6 feet away from everyone else. She has no prior health problems. ,2
479,A 95 year old,female who was not wearing a mask and went to the gym. Social distancing was practiced.,6
480,A 10 year old,"goes on a road trip with his parents to Yosemite, boths parents work from home remotely. ",1
481,A long distan,e trucker with diabetes goes into a gas station to buy food. He does not wear a mask but the clerk is. ,2
482,Ashley Maquie,te is a flight attendent for Qatar airways. She keeps her mask on for the entire duration of the flight from London to Dubai. All of the passengers on the plane keep their masks on the entire flight. ,2
483,A 32 year old,"woman without a mask goes to a spa where she is in close proximity to one person, who is wearing a mask. Everyone had temperature checks and no fevers.",2
484,A 58 year old,man with cancer went to a crowded indoor church service. No one wore masks.,6
485,The 57 year o,"d manager of a hedge fund flies In a private plane to Florida, the only person who shares the plane with him is his pilot and wife.",1
486,A 25 year old,sits in traffic on the highway. His AC is broken so he leaves his windows open in the bumper to bumper stalled traffic. Nobody else of the highway has their windows open.,1
487,A 87 year old,woman with diabetes and high blood pressure goes to an indoor family holiday party. She wears a mask but others do not and there is no social distancing.,6
488,A 22 year old,goes to the park to celebrate the birthday of one of her friends. She sits at a table with no mask with 6 other people who she does not live with for two hours in the sunlight. ,6
489,A group of co,"lege physics majors are working on the large hadron collider in Switzerland. They all wear masks and social distance well, the building they work in is 8 stories high and is well ventilated. ",1
490,A 28 year old,"Professor invites her student to her house for dinner, no one wears a mask during thr 3 hour event and they all sit close together in her dining room ",5
491,A 16 year old,boy plays basketball with 9 other people. All have had temperature checks but no one is wearing a mask.,4
492,A 38 year old,woman with a liver condition goes on a 6 hour road trip with her husband and child to the beach. They stay at an Air BnB alone and do not go to any establishments except the grocery store and beach. They wear masks. ,2
493,A 57 year old,piano teacher teaches piano lessons. She does not socially distance but everyone wears a mask.,3
494,The sommelier,at a 3 star restaurant serves wine to customers who are eating dinner. He is in his mid-30s and wears a mask but regularly gets within 6 feet of maskless customers whom he is serving. ,6
495,A 82 year old,man rides a bus. Everyone socially distances and wears masks.,2
496,A 52 year old,man with diabetes went to an outdoor farmer's market with 4 friends. Everyone was wearing a mask but no one was social distancing.,4
497,A 55 year old,carpenter restores the bottom floor of an apartment complex which has been destroyed by a flood. He works with one other person who is 24 and often goes out. ,5
498,A 21 year old,came into close contact for 15 minutes with a person who has been confirmed to have COVID-19 2 days ago. Neither person was wearing a mask during their encounter. The 21 year old is not displaying symptoms and feels healthy. The 21 year old wants to go to a bar for the evening and dance with friends where everyone will not be wearing masks and will not observe the 6 feet of social distancing.  ,6
499,A 15 year old,"boy went to the gym, where ten other people were also exercising. Everyone wore a mask. Social distancing was not practiced.",4
500,A 58 year old,woman with blood clots goes to eat lunch in a hospital cafeteria by herself. Everyone was wearing a mask and social distancing.,1
501,A 27 year old,"massage therapist gives 4 massages in a day, all of the clients wear masks during their 1 hour visits but 6 feet of distance is not maintaned. ",3
502,A group of 4 ,riends go sailing in the San Francisco bay. None of them wear masks during the adventure and none of them practice social distancing on their own. ,4
503,Maximillian L,velace goes to a tap dancing class at his university. He is overweight but wears a fitted mask for the entire duration of the class which has 10 other students. ,5
504,A 40 year old,gas station attendant pumps gas for people at the local gas station. He gets within 6 feet of people to accept payments and always wears a mask.,2
